"Root","Folder","FullName","FileCount","SizeBytes","Size","LastWriteTime"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","actua_1","Z:\Hisham\EUROMOD-STORAGE\RURO1\actua_1","22","998814","975,40 KB","04-02-26 16:02:35"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","bad_results","Z:\Hisham\EUROMOD-STORAGE\RURO1\bad_results","3","16224","15,84 KB","04-02-26 16:02:36"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","best_by_far","Z:\Hisham\EUROMOD-STORAGE\RURO1\best_by_far","16","891297","870,41 KB","04-02-26 16:02:37"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","enhanced_results1","Z:\Hisham\EUROMOD-STORAGE\RURO1\enhanced_results1","120","3929339","3,75 MB","04-02-26 16:02:39"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","perpartion_2016","Z:\Hisham\EUROMOD-STORAGE\RURO1\perpartion_2016","65","1738467","1,66 MB","04-02-26 16:02:40"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","try1","Z:\Hisham\EUROMOD-STORAGE\RURO1\try1","101","943267717","899,57 MB","04-02-26 16:02:43"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","try2","Z:\Hisham\EUROMOD-STORAGE\RURO1\try2","98","794911791","758,09 MB","04-02-26 16:02:44"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","try3","Z:\Hisham\EUROMOD-STORAGE\RURO1\try3","101","3703701364","3,45 GB","04-02-26 16:02:47"
"Z:\Hisham\EUROMOD-STORAGE\RURO1","try4","Z:\Hisham\EUROMOD-STORAGE\RURO1\try4","98","249878631","238,30 MB","04-02-26 16:03:08"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","_bestwithses1","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\_bestwithses1","17","904050","882,86 KB","19-01-26 18:23:02"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","2016","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\2016","9","33261239","31,72 MB","19-01-26 18:21:47"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","2021","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\2021","100","950048091","906,04 MB","19-01-26 18:21:55"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","actua_1","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\actua_1","22","998814","975,40 KB","19-01-26 18:21:56"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","bad_results","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\bad_results","3","16224","15,84 KB","19-01-26 18:21:57"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","best_by_far","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\best_by_far","16","891297","870,41 KB","19-01-26 18:21:57"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","enhanced_results1","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\enhanced_results1","120","3929339","3,75 MB","19-01-26 18:21:58"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","perpartion_2016","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\perpartion_2016","65","1738467","1,66 MB","19-01-26 18:21:58"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","try1","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\try1","101","943267717","899,57 MB","19-01-26 18:22:07"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","try2","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\try2","98","794911791","758,09 MB","19-01-26 18:22:08"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","try3","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\try3","101","3703701364","3,45 GB","19-01-26 18:22:16"
"Z:\Hisham\EUROMOD-STORAGE_1\RURO1","try4","Z:\Hisham\EUROMOD-STORAGE_1\RURO1\try4","98","249878631","238,30 MB","19-01-26 18:22:58"
